id,longitude,latitude,seg_bits,scale_id,scale,cap_spring,cap_summer,cap_autumn,cap_winter,build_cost_usd,op_cost_usd_for_4seasons,is_active_solve
1150,113.48464329984849,22.868923200245547,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1151,113.41867339985754,22.86796239964508,000,0,NONE,0,0,0,0,0,0.0,1
1152,113.48531409966608,22.86831579993429,000,0,NONE,0,0,0,0,0,0.0,0
1153,113.4857654999779,22.872782100313717,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1154,113.48013290031317,22.872735099944972,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1155,113.48181660025593,22.874809100259824,000,0,NONE,0,0,0,0,0,0.0,1
1156,113.49112449979587,22.873936200295475,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1157,113.49049689981211,22.874003000138373,000,0,NONE,0,0,0,0,0,0.0,0
1158,113.48559240026908,22.873488399969744,000,0,NONE,0,0,0,0,0,0.0,1
1159,113.4794155003251,22.87709749984981,000,0,NONE,0,0,0,0,0,0.0,1
1160,113.47817239983648,22.879620600010757,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1161,113.47795140043684,22.87968040043017,000,0,NONE,0,0,0,0,0,0.0,1
1162,113.39283759967554,22.88608139973684,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1163,113.39294810027468,22.886105999792107,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1164,113.41926990038564,22.86389139986824,000,0,NONE,0,0,0,0,0,0.0,1
1165,113.32127999957244,22.891316599781305,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1166,113.32129169975224,22.89114259985115,000,0,NONE,0,0,0,0,0,0.0,1
1167,113.2981153999059,22.90204790039036,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
1168,113.2974973003602,22.9018864001373,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1169,113.34540639988552,22.90909820032175,000,0,NONE,0,0,0,0,0,0.0,1
1170,113.39328990020874,22.911437899939187,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1171,113.34699650018842,22.91039040019689,000,0,NONE,0,0,0,0,0,0.0,1
1172,113.39297309962888,22.912797799878604,001,3,L,23808,23040,23808,23040,269976,6316.591780821918,1
1173,113.28856690024236,22.89206400025347,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
1174,113.29149469982065,22.892957900286945,000,0,NONE,0,0,0,0,0,0.0,1
