id,longitude,latitude,seg_bits,scale_id,scale,cap_2020,cap_2025,cap_2030,cap_2035,cap_2040,build_cost_usd,op_cost_usd_for_total_duration,is_active_solve
3991,-112.401355654,44.5820919836,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3992,-84.7069617254,44.5840810726,000,0,NONE,0,0,0,0,0,0,0.0,0
3993,-123.06203475,44.5940788529,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3994,-89.6132449505,44.5943346371,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3995,-72.0944096628,44.5954843601,000,0,NONE,0,0,0,0,0,0,0.0,0
3996,-93.7895340169,44.6020142386,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3997,-117.537957765,44.6408861093,000,0,NONE,0,0,0,0,0,0,0.0,1
3998,-88.0503539527,44.6749740958,000,0,NONE,0,0,0,0,0,0,0.0,1
3999,-112.694657548,44.713646219,000,0,NONE,0,0,0,0,0,0,0.0,1
4000,-106.915775723,44.7191081112,000,0,NONE,0,0,0,0,0,0,0.0,1
4001,-73.444142503,44.7255689028,000,0,NONE,0,0,0,0,0,0,0.0,0
4002,-69.4385394217,44.7279361019,000,0,NONE,0,0,0,0,0,0,0.0,0
4003,-93.2827107275,44.7402940836,000,0,NONE,0,0,0,0,0,0,0.0,1
4004,-96.8795877418,44.7426431002,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4005,-117.802661709,44.7455230819,000,0,NONE,0,0,0,0,0,0,0.0,1
4006,-73.0762714745,44.7617483328,000,0,NONE,0,0,0,0,0,0,0.0,0
4007,-91.4220417374,44.767393094,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
4008,-93.2169477417,44.7786790776,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
4009,-88.0461507427,44.7872110717,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4010,-68.8081557475,44.7868240971,000,0,NONE,0,0,0,0,0,0,0.0,0
4011,-68.7232407419,44.7718660988,000,0,NONE,0,0,0,0,0,0,0.0,0
4012,-69.1481832294,44.7874297851,000,0,NONE,0,0,0,0,0,0,0.0,0
4013,-93.4104297357,44.7905501079,000,0,NONE,0,0,0,0,0,0,0.0,1
4014,-93.3998727462,44.7941050875,000,0,NONE,0,0,0,0,0,0,0.0,1
4015,-93.5265477378,44.7985240952,000,0,NONE,0,0,0,0,0,0,0.0,1
4016,-72.214184498,44.8014677319,000,0,NONE,0,0,0,0,0,0,0.0,0
4017,-93.3989007257,44.8080191113,000,0,NONE,0,0,0,0,0,0,0.0,1
4018,-93.0597987064,44.8244710957,000,0,NONE,0,0,0,0,0,0,0.0,1
4019,-123.009404734,44.8480420828,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4020,-93.1453996852,44.8588246313,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
4021,-93.3948057383,44.8593191091,000,0,NONE,0,0,0,0,0,0,0.0,1
4022,-93.3501837283,44.8586531099,000,0,NONE,0,0,0,0,0,0,0.0,1
4023,-93.2983437236,44.8616320854,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
4024,-93.1505341531,44.8618643739,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4025,-93.247367747,44.8619921038,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4026,-93.2094327243,44.8625231112,000,0,NONE,0,0,0,0,0,0,0.0,1
4027,-93.1450017361,44.8628020934,000,0,NONE,0,0,0,0,0,0,0.0,1
4028,-123.009017717,44.8630540772,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4029,-84.6899175168,44.8722045549,000,0,NONE,0,0,0,0,0,0,0.0,0
4030,-93.0602577186,44.8747900734,000,0,NONE,0,0,0,0,0,0,0.0,1
4031,-93.3501117331,44.889703074,000,0,NONE,0,0,0,0,0,0,0.0,0
4032,-93.2954907404,44.8902250828,000,0,NONE,0,0,0,0,0,0,0.0,0
4033,-93.2749617245,44.8904411108,000,0,NONE,0,0,0,0,0,0,0.0,1
4034,-93.3994677312,44.8906390974,000,0,NONE,0,0,0,0,0,0,0.0,0
4035,-93.1847277272,44.8911341077,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
